|10|200|1000|5000|10000|
|3.162278|14.14214|31.62278|70.71068|100|
|1.778279|3.760603|5.623413|8.408964|10|
|1.333521|1.939227|2.371374|2.899821|3.162278|
|1.154782|1.392561|1.539927|1.702886|1.778279|
|1.074608|1.180068|1.240938|1.304947|1.333521|
|1.036633|1.08631|1.113974|1.142343|1.154782|
|1.018152|1.042262|1.05545|1.068804|1.074608|
|1.009035|1.020912|1.027351|1.03383|1.036633|
|1.004507|1.010402|1.013583|1.016774|1.018152|
|1.002251|1.005188|1.006769|1.008352|1.009035|
|1.001125|1.00259|1.003379|1.004167|1.004507|
|1.000562|1.001294|1.001688|1.002082|1.002251|
|1.000281|1.000647|1.000844|1.00104|1.001125|
|1.000141|1.000323|1.000422|1.00052|1.000562|
|1.00007|1.000162|1.000211|1.00026|1.000281|
|1.000035|1.000081|1.000105|1.00013|1.000141|
|1.000018|1.00004|1.000053|1.000065|1.00007|
|1.000009|1.00002|1.000026|1.000033|1.000035|
|1.000004|1.00001|1.000013|1.000016|1.000018|
